OD,oLon,oLat,dLon,dLat,busDis,busTime,busWalkTime,busWalkDis,busWaitTime,busBoardTime,busBoardDis,busTransNum,taxiCost,busCost,driveTime,driveDis
3003401486099950-3003401572099960,113.94766851071554,22.52369034958485,114.05181947671262,22.53691496228856,11042.0,2497.0,932.0,2177.0,1.0,1564.0,12114.0,1,31.7008,5.0,1195,13691
1001401488099960-7007401544100040,113.94865920016564,22.533862145734602,114.01826447849169,22.628804800162076,16072.0,4918.0,552.0,1290.0,0.0,4366.0,19071.0,0,43.7728,7.0,2520,16975
1001401488099960-1001401644099988,113.94865920016564,22.533862145734602,114.13738917296624,22.568923844682125,21130.0,5214.0,730.0,1706.0,1.0,4483.0,21342.0,0,55.912,2.5,3271,23433
1001401488099960-15015401400099976,113.94865920016564,22.533862145734602,113.84975156430586,22.55789907484379,11645.0,5188.0,481.0,1126.0,1.0,4706.0,14618.0,1,33.148,4.5,2570,14418
1001401488099960-3003401518099966,113.94865920016564,22.533862145734602,113.98611828860071,22.54246560213236,4359.0,2901.0,920.0,2148.0,0.0,1981.0,6180.0,0,15.6616,2.5,1436,6292
1001401486099960-1001401522099966,113.9462314708742,22.533816054785625,113.98978475003919,22.54140618494027,4825.0,1927.0,1089.0,2544.0,1.0,837.0,6016.0,0,16.78,3.0,1634,7437
1001401488099960-1001401616099982,113.94865920016564,22.533862145734602,114.10352856172388,22.561547454335184,17229.0,5405.0,764.0,1784.0,0.0,4641.0,18299.0,0,46.5496,2.5,2681,19212
1001401488099960-1001401470099962,113.94865920016564,22.533862145734602,113.92675991178518,22.53570124143213,2226.0,1970.0,1649.0,3850.0,1.0,320.0,2206.0,0,10.5424,2.0,888,4928
1001401488099960-1001401414100036,113.94865920016564,22.533862145734602,113.85689286928236,22.617825116058178,17028.0,5294.0,1295.0,3024.0,1.0,3998.0,16877.0,0,46.06719999999999,3.0,1999,15785
1001401486099960-1001401476099972,113.9462314708742,22.533816054785625,113.93379381533596,22.547116509858995,2503.0,2345.0,815.0,1904.0,1.0,1529.0,2871.0,0,11.2072,1.0,1312,2839
1001401488099960-3003401452099976,113.94865920016564,22.533862145734602,113.90574718210353,22.552219315637856,5852.0,2880.0,938.0,2190.0,0.0,1942.0,5491.0,0,19.2448,2.5,1347,8072
1001401488099960-1001401428100000,113.94865920016564,22.533862145734602,113.87481329996115,22.577565796471248,11293.0,3861.0,816.0,1906.0,0.0,3045.0,10996.0,0,32.3032,2.5,1848,11331
1001401488099960-3003401416100008,113.94865920016564,22.533862145734602,113.86122745619572,22.587453062945016,13557.0,4142.0,536.0,1252.0,0.0,3606.0,13334.0,0,37.7368,2.5,2242,13077
1001401488099960-1001401484099980,113.94865920016564,22.533862145734602,113.94330668762736,22.55632254717693,2766.0,2172.0,547.0,1278.0,0.0,1625.0,2848.0,0,11.8384,2.5,1338,3274
1001401488099960-1001401622100046,113.94865920016564,22.533862145734602,114.10930634334305,22.633857509105074,25067.0,7891.0,1294.0,3024.0,2.0,6595.0,27346.0,1,65.40903999999999,4.5,2900,24135
1001401486099960-7007401580099956,113.9462314708742,22.533816054785625,114.06400724304264,22.53488153151094,11084.0,2474.0,1113.0,2600.0,1.0,1360.0,11929.0,0,31.8016,4.0,1510,14743
1001401486099960-15015401472100016,113.9462314708742,22.533816054785625,113.93616286068406,22.604694173355533,8093.0,3893.0,484.0,1132.0,1.0,3408.0,10183.0,0,24.6232,2.0,2027,10012
1001401488099960-3003401456099976,113.94865920016564,22.533862145734602,113.91060310572814,22.552312754459425,5409.0,2092.0,149.0,350.0,1.0,1942.0,5491.0,0,18.1816,2.5,976,6309
1001401488099960-1001401428099994,113.94865920016564,22.533862145734602,113.874965983682,22.5708004749335,10597.0,3525.0,479.0,1120.0,1.0,3045.0,10996.0,0,30.6328,2.5,1943,11306
1001401488099960-7007401688100048,113.94865920016564,22.533862145734602,114.193024581313,22.64098711958175,33590.0,5245.0,1363.0,3183.0,1.0,3881.0,35434.0,1,92.0008,8.0,4498,36489
1001401488099960-7007401476099988,113.94865920016564,22.533862145734602,113.93696208250952,22.56861069055309,4597.0,3030.0,538.0,1256.0,0.0,2492.0,4524.0,0,16.2328,2.5,1198,6794
1001401488099960-1001401536100088,113.94865920016564,22.533862145734602,114.0038001375712,22.67930129200472,19823.0,8870.0,1283.0,2996.0,1.0,7586.0,34654.0,0,52.7752,5.0,3375,26322
1001401488099960-3003401522100010,113.94865920016564,22.533862145734602,113.98989627678336,22.59217436493897,9729.0,4687.0,1050.0,2452.0,0.0,3637.0,10597.0,0,28.5496,3.0,1847,10818
1001401488099960-3003401552099976,113.94865920016564,22.533862145734602,114.02715285737776,22.554511404754983,9400.0,2886.0,1515.0,3537.0,1.0,1370.0,9308.0,1,27.76,4.0,1753,10928
1001401488099960-1001401564100018,113.94865920016564,22.533862145734602,114.03952002213056,22.60099476295704,15245.0,5118.0,954.0,2228.0,0.0,4164.0,21466.0,0,41.788000000000004,2.5,2549,16653
1001401488099960-1001401472099950,113.94865920016564,22.533862145734602,113.92948701485821,22.52221621149068,2962.0,2145.0,565.0,1320.0,0.0,1580.0,3080.0,0,12.3088,2.0,945,4647
1001401488099960-1001401600099994,113.94865920016564,22.533862145734602,114.0838154092045,22.574729258303705,16721.0,5259.0,1645.0,3840.0,0.0,3614.0,16484.0,0,45.3304,3.0,2445,18353
1001401488099960-7007401580099980,113.94865920016564,22.533862145734602,114.0634341053772,22.56194764971747,13533.0,3504.0,322.0,752.0,0.0,3182.0,14544.0,0,37.6792,2.5,1625,14300
1001401488099960-3003401430099978,113.94865920016564,22.533862145734602,113.87898928727982,22.553957910143122,8522.0,2171.0,1230.0,2873.0,1.0,940.0,7937.0,1,25.6528,4.0,1613,10076
1001401486099960-3003401486100086,113.9462314708742,22.533816054785625,113.94428196730938,22.67704745832939,14643.0,6188.0,1174.0,2742.0,1.0,5013.0,19796.0,0,40.3432,3.0,3405,23966
1001401488099960-1001401464099998,113.94865920016564,22.533862145734602,113.91857443377876,22.57615558222416,7072.0,4456.0,817.0,1908.0,0.0,3639.0,8485.0,0,22.1728,2.5,1894,8224
1001401488099960-7007401508099996,113.94865920016564,22.533862145734602,113.97561889991005,22.57836835678625,7005.0,5013.0,1715.0,4002.0,0.0,3298.0,8249.0,0,22.011999999999997,3.0,1823,9270
1001401488099960-3003401652100036,113.94865920016564,22.533862145734602,114.14717922557554,22.62438203410689,27641.0,7371.0,1049.0,2450.0,1.0,6321.0,28258.0,0,73.43991999999999,2.5,4371,29929
1001401488099960-1001401492100008,113.94865920016564,22.533862145734602,113.95232444898129,22.588080872405246,5813.0,3692.0,732.0,1708.0,0.0,2960.0,6678.0,0,19.1512,2.0,1458,7378
1001401486099960-3003401472099944,113.9462314708742,22.533816054785625,113.93082535606459,22.516601253539942,3173.0,1583.0,453.0,1060.0,1.0,1129.0,2724.0,0,12.8152,2.0,708,3512
1001401486099960-3003401512100004,113.9462314708742,22.533816054785625,113.97789988630552,22.585180132859296,8135.0,4198.0,1113.0,2598.0,0.0,3085.0,11549.0,0,24.724,2.5,1808,9327
1001401488099960-3003401686100046,113.94865920016564,22.533862145734602,114.18825630754112,22.6363905000319,32682.0,7759.0,838.0,1958.0,1.0,6920.0,31863.0,1,89.16784,4.5,4235,35183
1001401486099960-3003401578099970,113.9462314708742,22.533816054785625,114.05886442748618,22.54832587339523,11963.0,3677.0,564.0,1318.0,0.0,3113.0,12976.0,0,33.911199999999994,3.0,2228,15020
1001401486099960-1001401564099978,113.9462314708742,22.533816054785625,114.04048438461152,22.55588570035239,11013.0,3569.0,871.0,2036.0,1.0,2697.0,12789.0,0,31.6312,2.0,1980,12646
1001401488099960-7007401532100004,113.94865920016564,22.533862145734602,114.00456699704573,22.587936251046546,10669.0,6271.0,2536.0,5918.0,0.0,3735.0,11236.0,0,30.8056,3.0,1975,14698
1001401488099960-1001401582100072,113.94865920016564,22.533862145734602,114.06008609695543,22.662294699446047,23352.0,5893.0,513.0,1198.0,0.0,5380.0,30264.0,1,61.2448,10.0,3145,25573
1001401486099960-15015401656100008,113.9462314708742,22.533816054785625,114.15983731716342,22.59978491269241,26567.0,7374.0,2859.0,6674.0,1.0,4514.0,27094.0,1,70.08903999999998,7.0,4356,28246
1001401486099960-3003401462099962,113.9462314708742,22.533816054785625,113.91823787225545,22.536666182091583,2898.0,1961.0,1545.0,3608.0,1.0,415.0,3044.0,0,12.1552,2.0,1318,4516
1001401488099960-1001401562099992,113.94865920016564,22.533862145734602,114.03771854117592,22.57162912380213,12113.0,4870.0,1888.0,4408.0,1.0,2981.0,13556.0,0,34.27119999999999,3.0,2274,15463
1001401488099960-3003401486099962,113.94865920016564,22.533862145734602,113.9473708749944,22.537221996189647,459.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,10.0,0.0,205,763
3003401486099950-3003401474099946,113.94766851071554,22.52369034958485,113.93320294266128,22.518902791208593,1831.0,2078.0,667.0,1558.0,0.0,1411.0,2168.0,0,10.0,2.0,603,2631
1001401488099960-1001401446099992,113.94865920016564,22.533862145734602,113.8968706578656,22.568969154027428,8370.0,3670.0,805.0,1880.0,0.0,2865.0,8424.0,0,25.288,2.5,1389,9146
1001401488099960-1001401540099990,113.94865920016564,22.533862145734602,114.01105306463872,22.56887871289193,9349.0,4640.0,2152.0,5022.0,0.0,2488.0,9702.0,0,27.6376,2.5,1883,12731
3003401486099950-3003401504099956,113.94766851071554,22.52369034958485,113.96936900952541,22.53086944640272,2747.0,1784.0,1351.0,3154.0,0.0,433.0,2162.0,0,11.7928,2.0,670,3550
1001401488099960-7007401572099996,113.94865920016564,22.533862145734602,114.05333639679972,22.57981364612523,14393.0,3766.0,1912.0,4465.0,2.0,1852.0,15208.0,1,39.7432,5.0,2477,16342
1001401488099960-3003401476099992,113.94865920016564,22.533862145734602,113.93448397645484,22.57081966305864,5051.0,2886.0,392.0,916.0,0.0,2494.0,4524.0,0,17.322400000000002,2.5,1379,7337
1001401486099960-1001401498099990,113.9462314708742,22.533816054785625,113.96005624509226,22.5679214903079,4730.0,3161.0,281.0,658.0,1.0,2879.0,5937.0,0,16.552,2.0,1190,5793
1001401488099960-1001401652100026,113.94865920016564,22.533862145734602,114.1462205805852,22.61195432341044,26297.0,7734.0,1227.0,2866.0,1.0,6506.0,28945.0,0,69.24663999999999,5.0,4487,28318
1001401486099960-7007401460099980,113.9462314708742,22.533816054785625,113.91773646826807,22.559218180130703,5220.0,2909.0,1533.0,3578.0,0.0,1376.0,3657.0,0,17.727999999999994,2.0,1878,5983
1001401488099960-1001401702100116,113.94865920016564,22.533862145734602,114.2049039024385,22.714532844993983,42127.0,9345.0,1203.0,2810.0,1.0,8141.0,48851.0,1,118.63623999999999,10.0,4242,44831
3003401486099950-7007401480100008,113.94766851071554,22.52369034958485,113.9413204839744,22.591255730503878,7410.0,4492.0,1172.0,2736.0,0.0,3320.0,8456.0,0,22.984,2.0,1943,9720
1001401488099960-1001401622099958,113.94865920016564,22.533862145734602,114.11137815751972,22.534611387390356,15242.0,4724.0,748.0,1750.0,2.0,3974.0,18453.0,1,41.7808,4.5,1972,18797
3003401486099950-1001401476099970,113.94766851071554,22.52369034958485,113.93384368187023,22.544861268732124,3424.0,2322.0,513.0,1200.0,1.0,1808.0,4288.0,0,13.4176,2.0,1067,4846
1001401486099960-3003401462099954,113.9462314708742,22.533816054785625,113.918438207978,22.52764533364836,3214.0,2359.0,615.0,1436.0,0.0,1744.0,3349.0,0,12.9136,2.5,1447,5260
1001401488099960-3003401502100026,113.94865920016564,22.533862145734602,113.9652122342848,22.60975925449479,9204.0,5076.0,1001.0,2338.0,1.0,4074.0,14284.0,0,27.2896,2.5,2356,11626
1001401486099960-3003401434100002,113.9462314708742,22.533816054785625,113.88323629997394,22.581113695880752,10646.0,3706.0,639.0,1494.0,1.0,3066.0,9850.0,0,30.750400000000006,2.5,1769,10024
1001401488099960-1001401484099994,113.94865920016564,22.533862145734602,113.94295836880177,22.572109337288236,4392.0,3326.0,592.0,1382.0,0.0,2734.0,5308.0,0,15.7408,2.5,1245,7343
1001401488099960-3003401478099946,113.94865920016564,22.533862145734602,113.93805782714205,22.51899527177399,2488.0,2225.0,395.0,924.0,1.0,1829.0,4031.0,0,11.1712,2.5,760,3199
